line_code	env_code	Yprd	Yobs	Rep
E182	PR14S	1901.888	1752.08	1
E184	PR14S	1879.697	1566.62	1
E186	PR14S	2082.113	2271.82	1
E187	PR14S	1946.971	1908.7433	1
E191	PR14S	1896.156	2846.53	1
E196	PR14S	1918.695	1686.62	1
E197	PR14S	1885.896	1566.62	1
E201	PR14S	2044.566	2304.98	1
E208	PR14S	1704.113	1670.48	1
E210	PR14S	2083.112	2013.9121	1
E211	PR14S	2147.864	2046.64	1
E213	PR14S	1718.148	1566.62	1
E215	PR14S	2047.197	1835.4307	1
E218	PR14S	2102.303	2137.41	1
E220	PR14S	2010.532	2076.32	1
E225	PR14S	1881.976	1801.39	1
E226	PR14S	2040.044	1967.2189	1
E230	PR14S	1836.987	1601.53	1
E245	PR14S	1790.476	1535.2	1
E29	PR14S	1843.001	1601.53	1
E43	PR14S	1964.727	2076.32	1
E44	PR14S	1761.81	2013.4757	1
E46	PR14S	2199.705	2137.41	1
E50	PR14S	2190.949	2105.99	1
E62	PR14S	1892.47	1897.3973	1
E64	PR14S	2155.969	1939.2903	1
E66	PR14S	2187.262	1550.47	1
E70	PR14S	1889.138	1735.94	1
E71	PR14S	1809.43	1752.08	1
E77	PR14S	1977.828	2187.59	1
E8	PR14S	1977.021	1910.4889	1
E86	PR14S	2120.82	1880.8147	1
E87	PR14S	1999.358	2076.32	1
E90	PR14S	2261.479	2571.18	1
E99	PR14S	2222.617	2137.85	1
E100	KS11	2290.982	2152.05	1
E106	KS11	2247.591	2545.48	1
E108	KS11	2377.627	2167.34	1
E114	KS11	1914.643	2048.78	1
E116	KS11	2852.859	3194.32	1
E118	KS11	2185.716	1748.51	1
E12	KS11	2606.295	3055.81	1
E123	KS11	2361.677	2355.6173	1
E124	KS11	2017.384	1801.77	1
E125	KS11	2194.239	2194.8373	1
E128	KS11	2848.675	2893.44	1
E14	KS11	2149.004	1915.78	1
E141	KS11	2181.108	1994.65	1
E144	KS11	2232.957	1982.68	1
E154	KS11	2737.14	2591.3	1
E157	KS11	2232.249	2834.42	1
E159	KS11	2338.061	2678.79	1
E16	KS11	2415.911	1833.3	1
E167	KS11	2246.765	2139.38	1
