env_code	pop_code	line_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
KS12	1	E116	3495.439	3317.948	3317.58	2002.752
PR11	1	E116	1533.732	1422.231	1464.7108	2311.563
PR12	1	E116	1378.119	1444.188	1492.1509	2306.99
PR14S	1	E116	2299.65	2392.225	2372.18	2160.318
IA13	1	E117	1796.651	1801.869	1709.9	1809.619
IA14	1	E117	1606.971	1593.091	1654.52	1818.849
KS11	1	E117	1965.505	1983.921	2107.99	1743.27
KS12	1	E117	2166.829	2117.067	2050.13	1752.914
PR11	1	E117	1633.289	1604.273	1593.9205	1828.948
PR12	1	E117	1588.299	1603.747	1615.72	1825.315
PR14S	1	E117	1824.331	1848.361	1835.4307	1788.697
IA13	1	E118	1605.63	1609.335	1641.83	1614.48
IA14	1	E118	1489.64	1484.488	1525.499	1633.869
KS11	1	E118	1775.552	1786.663	1748.51	1596.7
KS12	1	E118	1778.451	1753.081	1871.34	1576.229
PR11	1	E118	1509.762	1494.914	1478.1454	1641.761
PR12	1	E118	1470.781	1486.306	1512.9183	1635.966
PR14S	1	E118	1654.372	1670.533	1550.47	1629.707
IA13	1	E119	2077.08	2094.384	1939.6573	2119.682
IA14	1	E119	1510.593	1471.829	1538.9291	2186.47
KS11	1	E119	2684.049	2741.462	3055.6	1933.691
KS12	1	E119	3252.088	3090.349	2981.33	1946.07
PR11	1	E119	1532.146	1437.128	1517.9961	2189.958
PR12	1	E119	1416.115	1471.456	1502.5346	2192.535
PR14S	1	E119	2206.714	2285.356	2121.7	2089.341
IA13	1	E12	2172.01	2188.906	2162.02	2214.344
IA14	1	E12	1610.482	1560.463	1704.41	2290.612
KS11	1	E12	2845.753	2923.765	3055.81	2065.379
KS12	1	E12	3478.736	3317.284	2979.69	2078.065
PR11	1	E12	1711.045	1615.435	1464.7108	2330.562
PR12	1	E12	1590.527	1629.778	1492.1509	2325.988
PR14S	1	E12	2257.703	2334.906	2589.29	2143.132
IA13	1	E120	2310.712	2332.072	2078.05	2363.724
IA14	1	E120	1566.038	1510.508	1714.48	2424.319
KS11	1	E120	3182.774	3276.269	3275.21	2164.197
KS12	1	E120	3719.87	3538.943	3467.31	2132.181
PR11	1	E120	1677.617	1562.217	1454.83	2467.594
PR12	1	E120	1515.573	1575.722	1502.5346	2459.643
PR14S	1	E120	2392.743	2488.164	2767.98	2248.736
IA13	1	E121	1657.949	1664.405	1709.9	1673.439
IA14	1	E121	1468.636	1459.637	1474.177	1712.726
KS11	1	E121	1939.172	1958.242	1935.17	1635.894
KS12	1	E121	2004.435	1953.185	2081.77	1611.46
PR11	1	E121	1468.702	1438.561	1488.0238	1710.418
PR12	1	E121	1435.111	1460.066	1459.9614	1715.095
PR14S	1	E121	1734.466	1762.588	1601.53	1691.5
IA13	1	E122	1891.741	1906.456	1680.34	1928.032
IA14	1	E122	1423.113	1391.347	1342.51	1984.337
KS11	1	E122	2411.317	2462.595	2683.28	1760.875
KS12	1	E122	2842.74	2712.93	2682.91	1760.937
PR11	1	E122	1402.128	1318.845	1432.31	1969.37
PR12	1	E122	1282.833	1332.397	1459.9614	1964.761
PR14S	1	E122	1980.093	2046.813	1967.2189	1880.219
IA13	1	E123	1868.873	1880.215	1910.9938	1896.517
IA14	1	E123	1526.227	1504.585	1525.499	1960.766
KS11	1	E123	2364.707	2407.022	2355.6173	1822.413
KS12	1	E123	2526.604	2438.596	2578.72	1785.229
PR11	1	E123	1552.225	1496.853	1478.1454	1968.658
PR12	1	E123	1447.776	1487.857	1543.7233	1957.729
PR14S	1	E123	1974.833	2025.163	1897.3973	1898.783
IA13	1	E124	1709.191	1714.21	1723.05	1720.945
IA14	1	E124	1551.112	1547.733	1594.5679	1742.359
KS11	1	E124	1977.56	1992.882	1801.77	1707.825
KS12	1	E124	1894.517	1861.044	2092.38	1659.39
PR11	1	E124	1542.193	1520.534	1630.6682	1736.342
PR12	1	E124	1573.291	1593.208	1470.3451	1763.063
PR14S	1	E124	1751.06	1770.795	1735.94	1718.797
IA13	1	E125	1805.864	1815.258	1863.785	1828.548
IA14	1	E125	1503.58	1487.13	1594.5679	1873.418
KS11	1	E125	2222.745	2254.273	2194.8373	1773.373
KS12	1	E125	2314.793	2243.12	2420.8492	1735.704
PR11	1	E125	1553.373	1511.557	1478.1454	1892.821
PR12	1	E125	1476.867	1511.452	1512.9183	1887.026
PR14S	1	E125	1906.878	1948.077	1769.97	1844.184
IA13	1	E126	1601.863	1606.305	1582.93	1612.64
IA14	1	E126	1496.318	1490.711	1372.01	1647.794
KS11	1	E126	1765.671	1778.176	1835.53	1570.541
KS12	1	E126	1856.832	1820.039	1871.34	1564.572
PR11	1	E126	1444.665	1419.362	1523.191	1622.597
PR12	1	E126	1408.875	1427.434	1523.302	1622.579
PR14S	1	E126	1648.057	1668.05	1550.47	1618.051
IA13	1	E127	2126.54	2146.742	2036.4	2175.893
IA14	1	E127	1486.168	1446.46	1498.6389	2265.52
KS11	1	E127	2930.271	3000.266	3090.19	2000.262
KS12	1	E127	3352.121	3182.314	3309.15	1963.768
PR11	1	E127	1506.094	1401.351	1488.0238	2267.289
PR12	1	E127	1366.787	1436.191	1481.7672	2268.332
PR14S	1	E127	2286.56	2376.463	2187.59	2150.695
IA13	1	E128	2001.755	2020.03	1967.87	2046.393
IA14	1	E128	1443.676	1408.488	1403.19	2140.507
KS11	1	E128	2728.012	2790.666	2893.44	1892.132
KS12	1	E128	3119.147	2965.415	3075.11	1861.853
PR11	1	E128	1447.443	1352.572	1432.31	2135.653
PR12	1	E128	1306.875	1370.778	1459.9614	2131.045
PR14S	1	E128	2161.713	2243.462	2014.3484	2038.647
IA13	1	E129	1824.377	1832.133	1949.7815	1843.122
IA14	1	E129	1615.866	1603.493	1581.1378	1904.562
KS11	1	E129	2188.347	2216.229	2138.09	1811.737
KS12	1	E129	2310.956	2242.359	2293.61	1785.817
PR11	1	E129	1595.501	1555.276	1653.9813	1892.422
PR12	1	E129	1604.835	1629.2	1501.4962	1917.836
PR14S	1	E129	1904.252	1937.573	1890.4152	1853.016
IA13	1	E13	1828.181	1836.327	1872.3161	1848.036
IA14	1	E13	1590.93	1575.718	1565.3095	1899.204
KS11	1	E13	2199.46	2231.474	2153.53	1801.167
KS12	1	E13	2307.358	2243.388	2335.45	1770.847
PR11	1	E13	1595.161	1554.087	1571.0026	1898.255
PR12	1	E13	1541.517	1569.017	1565.5291	1899.168
PR14S	1	E13	1898.21	1933.933	1897.3973	1843.856
IA13	1	E130	1884.979	1894.61	1910.5459	1908.287
IA14	1	E130	1572.297	1554.987	1654.52	1950.958
KS11	1	E130	2341.419	2378.387	2216.205	1857.344
KS12	1	E130	2395.684	2324.733	2519.3395	1806.821
PR11	1	E130	1614.813	1570.286	1558.7533	1966.919
PR12	1	E130	1561.543	1594.792	1533.6857	1971.097
PR14S	1	E130	1962.665	2004.028	1967.2189	1898.842
IA13	1	E131	1804.233	1812.341	1807.0888	1823.415
IA14	1	E131	1570.991	1564.469	1538.9291	1868.109
KS11	1	E131	2189.238	2212.315	2051.32	1782.71
KS12	1	E131	2127.567	2074.159	2406.548	1723.505
PR11	1	E131	1539.599	1503.121	1642.9175	1850.777
PR12	1	E131	1512.317	1547.963	1564.8369	1863.791
PR14S	1	E131	1888.527	1922.382	1735.94	1835.273
IA13	1	E132	1747.884	1753.801	1745.73	1762.291
IA14	1	E132	1580.322	1570.23	1525.499	1798.996
KS11	1	E132	2008.105	2030.302	1988.52	1721.826
KS12	1	E132	2101.26	2052.017	2102.77	1702.784
PR11	1	E132	1555.637	1523.296	1606.1698	1785.551
PR12	1	E132	1542.746	1562.408	1533.6857	1797.631
PR14S	1	E132	1789.767	1815.417	1817.1	1750.396
IA13	1	E133	2046.355	2064.302	1953.7651	2090.301
IA14	1	E133	1478.41	1441.971	1474.177	2170.233
KS11	1	E133	2712.944	2771.75	2995.79	1916.63
KS12	1	E133	3208.885	3046.469	3034.26	1910.219
PR11	1	E133	1479.289	1382.543	1511.3369	2164.039
PR12	1	E133	1376.911	1436.585	1449.9238	2174.275
PR14S	1	E133	2190.993	2271.578	2076.32	2069.875
IA13	1	E134	1648.122	1654.511	1736.77	1663.421
IA14	1	E134	1465.621	1456.897	1475.3761	1706.987
KS11	1	E134	1954.323	1975.497	1880.87	1639.405
KS12	1	E134	1965.705	1920.378	2097.23	1603.345
PR11	1	E134	1478.02	1450.326	1454.83	1710.411
PR12	1	E134	1428.253	1453.567	1470.6912	1707.768
PR14S	1	E134	1728.317	1755.966	1601.53	1685.961
IA13	1	E135	1684.669	1691.106	1869.1183	1700.036
IA14	1	E135	1552.218	1545.912	1426.45	1773.814
KS11	1	E135	2003.024	2023.682	1934.86	1689.079
KS12	1	E135	2045.456	1993.955	2122.33	1657.834
PR11	1	E135	1502.017	1470.345	1577.6019	1748.622
PR12	1	E135	1486.362	1511.231	1502.5346	1761.133
PR14S	1	E135	1781.284	1809.042	1636.44	1738.816
IA13	1	E136	1769.594	1777.263	1821.8684	1787.743
IA14	1	E136	1551.649	1544.902	1538.9291	1834.9
KS11	1	E136	2121.335	2141.388	2047.45	1750.146
KS12	1	E136	2113.952	2058.011	2317.89	1705.073
PR11	1	E136	1528.987	1494.57	1618.0239	1821.717
PR12	1	E136	1508.337	1541.056	1533.6857	1835.774
PR14S	1	E136	1863.498	1895.932	1670.48	1812.975
IA13	1	E137	1932.658	1948.398	1882.4382	1971.293
IA14	1	E137	1448.723	1415.947	1405.35	2050.807
KS11	1	E137	2519.059	2572.29	2778.89	1821.884
KS12	1	E137	2969.348	2827.596	2795.9	1819.049
PR11	1	E137	1446.757	1361.522	1444.95	2044.207
PR12	1	E137	1333.316	1385.678	1448.5393	2043.609
PR14S	1	E137	2065.823	2137.048	1954.1274	1959.345
IA13	1	E138	1715.475	1722.108	1754.69	1731.462
IA14	1	E138	1512.378	1501.8	1538.6892	1767.462
KS11	1	E138	1969.582	1986.723	2066.75	1679.452
KS12	1	E138	2120.706	2060.289	2107.84	1672.603
PR11	1	E138	1514.761	1482.1	1546.8992	1766.093
PR12	1	E138	1490.658	1514.809	1492.1509	1775.218
PR14S	1	E138	1795.635	1825.069	1636.44	1751.17
IA13	1	E139	1724.687	1729.567	1716.17	1736.483
IA14	1	E139	1592.404	1585.704	1525.499	1768.261
KS11	1	E139	1939.406	1956.158	1915.78	1703.214
KS12	1	E139	2019.423	1975.261	2008.89	1687.696
PR11	1	E139	1545.326	1516.767	1665.84	1744.871
PR12	1	E139	1576.192	1591.744	1501.4962	1772.262
PR14S	1	E139	1754.415	1774.947	1801.39	1722.279
IA13	1	E14	1778.96	1787.269	1896.4382	1798.834
IA14	1	E14	1532.579	1520.986	1581.1378	1851.384
KS11	1	E14	2261.637	2298.343	1915.78	1795.61
KS12	1	E14	2128.772	2081.372	2417.6846	1711.959
PR11	1	E14	1568.397	1534.383	1500.2731	1864.861
PR12	1	E14	1523.503	1554.111	1480.7288	1868.119
PR14S	1	E14	1852.756	1886.953	1897.3973	1798.674
IA13	1	E140	1864.214	1871.374	1820.0769	1881.849
IA14	1	E140	1660.375	1645.906	1565.3095	1924.31
KS11	1	E140	2171.334	2201.5	2164.78	1824.398
KS12	1	E140	2330.901	2268.443	2258.8	1808.728
PR11	1	E140	1621.467	1578.912	1687.76	1903.902
PR12	1	E140	1611.395	1632.484	1585.2582	1920.985
PR14S	1	E140	1894.806	1926.052	2029.1855	1846.997
IA13	1	E141	1780.426	1786.843	1783.1279	1795.677
IA14	1	E141	1571.192	1563.595	1634.3785	1820.468
KS11	1	E141	2077.542	2096.245	1994.65	1760.423
KS12	1	E141	2086.624	2036.801	2216.52	1723.445
PR11	1	E141	1573.448	1543.941	1642.9175	1819.045
PR12	1	E141	1586.762	1610.754	1502.5346	1842.442
PR14S	1	E141	1837.729	1864.35	1783.06	1795.688
IA13	1	E142	1776.198	1782.724	1725.13	1792.35
IA14	1	E142	1573.938	1558.834	1538.6892	1823.424
KS11	1	E142	2067.329	2097.685	2028.07	1741.86
KS12	1	E142	2175.342	2125.494	2159.78	1719.909
PR11	1	E142	1580.004	1544.395	1535.8354	1823.9
PR12	1	E142	1522.669	1542.74	1565.5291	1818.951
PR14S	1	E142	1802.645	1831.509	1926.1987	1758.839
IA13	1	E143	1814.157	1822.705	1859.7131	1834.705
IA14	1	E143	1539.942	1526.37	1619.9891	1874.659
KS11	1	E143	2145.571	2167.125	2254.3345	1768.935
KS12	1	E143	2318.308	2242.067	2331.88	1756.01
PR11	1	E143	1560.729	1520.421	1582.0664	1880.979
PR12	1	E143	1528.099	1559.622	1518.0591	1891.647
PR14S	1	E143	1918.219	1955.967	1701.9	1861.007
IA13	1	E144	1716.702	1723.871	1889.2723	1734.151
IA14	1	E144	1521.167	1507.136	1525.499	1794.779
KS11	1	E144	2080.002	2110.624	1982.68	1718.583
KS12	1	E144	2160.986	2104.516	2174.51	1686.611
PR11	1	E144	1548.697	1515.128	1464.7108	1804.911
PR12	1	E144	1500.353	1522.784	1471.3834	1803.799
PR14S	1	E144	1798.945	1830.357	1786.12	1751.343
IA13	1	E145	1764.45	1771.893	1782.6801	1782.609
IA14	1	E145	1547.302	1533.439	1512.0689	1827.711
KS11	1	E145	2113.234	2144.108	2035.22	1740.519
KS12	1	E145	2192.205	2135.414	2232.2	1707.689
PR11	1	E145	1544.852	1506.613	1534.65	1823.947
PR12	1	E145	1502.394	1527.124	1512.9183	1827.569
PR14S	1	E145	1817.806	1850.127	1868.596	1768.29
IA13	1	E146	1839.803	1847.979	1794.3246	1859.608
IA14	1	E146	1567.832	1553.408	1623.3466	1888.105
KS11	1	E146	2204.917	2234.693	2139.38	1802.099
KS12	1	E146	2296.541	2229.865	2342.75	1768.204
PR11	1	E146	1576.516	1534.896	1618.0239	1888.992
PR12	1	E146	1576.353	1602.861	1481.7672	1911.701
PR14S	1	E146	1887.334	1922.053	1952.3818	1833.265
IA13	1	E147	1824.97	1829.495	1846.725	1835.989
IA14	1	E147	1701.769	1694.026	1654.52	1868.023
KS11	1	E147	2024.046	2040.824	2018.15	1807.418
KS12	1	E147	2112.434	2072.343	2087.06	1795.933
PR11	1	E147	1678.8	1653.537	1727.48	1855.863
