line_code	PR12	IA14	PR11	IA13	PR14S	KS11	KS12
E57	1460.3075	1475.3761	1557.9631	1682.13	1635.57	1980.88	1980.38
E58	1523.302	1619.9891	1753.16	1910.9938	1650.84	2094.17	2316.63
E59	1522.9559	1487.607	1547.6895	1654.14	1751.64	1757.73	1870.69
E6	1575.2206	1579.9387	1559.5436	1861.2806	1908.7433	2340.1851	2417.4672
E60	1481.7672	1372.01	1419.67	1808.8803	1952.3818	2722.95	2695.67
E61	1438.5017	1403.19	1432.31	1783.1279	2271.82	2811.37	2815.99
E62	1470.3451	1538.9291	1488.0238	1672.95	1897.3973	2094.65	2240.42
E63	1460.3075	1392.16	1467.0816	1807.0888	2076.32	2591.71	2786.79
E64	1428.118	1342.51	1444.95	1808.8803	1939.2903	2315.0187	2531.37
E65	1460.3075	1579.9387	1595.5011	1831.2736	1893.9063	2211.6703	2293.61
E66	1481.7672	1461.946	1500.2731	1966.98	1550.47	1867.06	2965.19
E68	1575.2206	1608.9573	1753.56	1770.1398	1752.08	1941.18	2138.52
E69	1448.5393	1629.1024	1454.83	2025.62	1932.56	3074.83	3133.28
E7	1492.1509	1634.3785	1444.95	2065.41	2521.86	2886.46	3030.63
E70	1512.9183	1450.9142	1558.7533	1745.73	1735.94	1863.07	1977.2
E71	1575.2206	1475.3761	1606.1698	1725.13	1752.08	1912.21	1945.28
E72	1523.302	1542.905	1547.6895	1831.2736	1635.57	2139.38	2396.8849
E73	1656.91	1654.52	1792.28	2001.15	1835.4307	2298.1382	2551.08
E74	1492.1509	1746.62	1454.83	2115	3080.87	3230.86	3244.11
E75	1502.5346	1414.22	1478.1454	1896.4382	2204.61	2852.91	2836.04
E76	1554.107	1672.75	1666.63	2009.97	1846.7767	2711.84	2916.61
E77	1407.7	1487.607	1444.95	1857.81	2187.59	2526.2	2722.21
E78	1523.302	1552.1193	1618.0239	1783.1279	1801.39	2040.63	2252.28
E79	1533.3396	1538.9291	1654.7716	1820.0769	1939.2903	2138.09	2344.61
E8	1492.1509	1643.4917	1523.5862	1970.44	1910.4889	2580.05	2568.77
E80	1481.7672	1414.22	1464.7108	1832.3932	2059.73	2712.13	2544.1493
E81	1554.4531	1525.499	1629.878	1771.4834	1783.06	2370.361	2356.4452
E82	1627.83	1552.1193	1679.67	1903.604	1704.52	2206.7083	2280.3
E83	1512.9183	1463.1451	1511.3369	1707.65	1670.48	1919.43	2062.69
E84	1492.1509	1426.45	1454.83	1845.6053	1670.48	1920	2270.9
E85	1470.3451	1382.8	1570.6074	1807.0888	2105.99	2570.41	2520.185
E86	1616.76	1663.64	1753.16	2036.17	1880.8147	2359.8909	2628.07
E87	1595.988	1663.64	1753.16	1896.4382	2076.32	2400.49	2491.6308
E88	1606.3717	1634.3785	1653.9813	1967.65	2121.7	2298.1382	2519.3395
E89	1491.1125	1619.9891	1631.4585	1953.3172	2505.72	2843.29	2932.94
E9	1671.44	1654.52	1654.7716	1883.2261	1875.5781	2139.38	2180.77
E90	1460.3075	1654.52	1547.6895	2091.48	2571.18	2966.88	2971.67
E91	1459.9614	1538.6892	1488.0238	1771.4834	1852.0133	2192.7481	2442.3494
E92	1606.7178	1725.51	1766.2	2070.66	1967.2189	2276.4382	2377.9454
E93	1595.2958	1634.3785	1791.88	1910.5459	2120.39	2246.9982	2592.15
E94	1564.8369	1619.9891	1716.41	1864.8636	1941.0358	2420.36	2592.15
E95	1492.1509	1538.9291	1454.83	1953.7651	2137.85	3072.59	3174.11
E96	1481.7672	1474.177	1464.7108	1820.0769	1817.1	2153.34	2315.11
E97	1523.302	1538.9291	1605.7746	1795.8921	1986.4198	2263.8787	2463.5839
E98	1428.118	1475.3761	1488.0238	1716.17	1666.99	2153.53	2432.2033
E99	1470.3451	1438.68	1478.1454	1981.76	2137.85	2823.45	2898.15
