line_code	env_code	Yprd	Yobs	Rep
E178	PR12	1597.289	1502.5346	1
E185	PR12	1464.264	1470.3451	1
E186	PR12	1489.676	1449.9238	1
E187	PR12	1583.961	1481.7672	1
E188	PR12	1602.726	1595.6419	1
E192	PR12	1455.447	1492.1509	1
E206	PR12	1507.701	1470.3451	1
E208	PR12	1535.855	1481.7672	1
E209	PR12	1557.084	1481.7672	1
E210	PR12	1574.314	1491.1125	1
E22	PR12	1482.181	1512.9183	1
E231	PR12	1566.524	1502.5346	1
E232	PR12	1598.766	1439.5401	1
E234	PR12	1546.342	1471.3834	1
E241	PR12	1492.933	1407.7	1
E242	PR12	1469.651	1428.118	1
E248	PR12	1537.838	1575.2206	1
E37	PR12	1542.584	1471.3834	1
E39	PR12	1505.574	1460.3075	1
E40	PR12	1652.304	1671.44	1
E41	PR12	1563.872	1502.5346	1
E45	PR12	1516.944	1575.2206	1
E48	PR12	1571.689	1470.3451	1
E52	PR12	1607.899	1602.4222	1
E55	PR12	1557.392	1533.3396	1
E62	PR12	1531.458	1470.3451	1
E68	PR12	1612.442	1575.2206	1
E70	PR12	1523.59	1512.9183	1
E71	PR12	1539.873	1575.2206	1
E72	PR12	1483.885	1523.302	1
E79	PR12	1628.362	1533.3396	1
E83	PR12	1622.62	1512.9183	1
E85	PR12	1416.494	1470.3451	1
E91	PR12	1529.143	1459.9614	1
E105	PR12	1524.562	1574.5283	1
E110	PR12	1606.035	1595.6419	1
E123	PR12	1555.939	1543.7233	1
E134	PR12	1500.687	1470.6912	1
E141	PR12	1597.17	1502.5346	1
E142	PR12	1504.52	1565.5291	1
E144	PR12	1513.169	1471.3834	1
E145	PR12	1562.358	1512.9183	1
E147	PR12	1646.3	1647.91	1
E154	PR12	1557.953	1448.5393	1
E160	PR12	1531.299	1459.9614	1
E162	PR12	1506.227	1502.5346	1
E163	PR12	1513.386	1502.5346	1
E165	PR12	1536.748	1502.5346	1
E166	PR12	1657.527	1627.83	1
E167	PR12	1650.829	1595.6419	1
E179	PR12	1625.808	1532.6474	1
E180	PR12	1449.117	1470.3451	1
E182	PR12	1563.751	1554.107	1
E190	PR12	1560.401	1512.9183	1
E193	PR12	1532.231	1523.302	1
E195	PR12	1524.718	1480.7288	1
E197	PR12	1518.506	1544.0694	1
E20	PR12	1505.489	1448.5393	1
E200	PR12	1533.031	1470.3451	1
E203	PR12	1541.977	1480.7288	1
E205	PR12	1526.49	1492.1509	1
E213	PR12	1520.117	1512.9183	1
E215	PR12	1672.548	1564.8369	1
E218	PR12	1503.673	1459.9614	1
E219	PR12	1499.888	1544.0694	1
E223	PR12	1552.147	1575.2206	1
E225	PR12	1479.571	1481.7672	1
E23	PR12	1530.415	1544.0694	1
E230	PR12	1504.176	1438.5017	1
E233	PR12	1491.735	1502.5346	1
E237	PR12	1435.081	1428.118	1
E24	PR12	1562.153	1492.1509	1
E240	PR12	1551.943	1554.4531	1
E247	PR12	1454.377	1418.0804	1
E27	PR12	1451.846	1448.5393	1
E29	PR12	1517.17	1512.9183	1
E30	PR12	1502.736	1523.302	1
E31	PR12	1572.624	1428.118	1
E36	PR12	1564.789	1533.6857	1
E44	PR12	1570.631	1523.302	1
E49	PR12	1568.534	1599.4492	1
E50	PR12	1543.582	1492.1509	1
E58	PR12	1621.923	1523.302	1
E6	PR12	1610.296	1575.2206	1
E61	PR12	1467.38	1438.5017	1
E64	PR12	1420.11	1428.118	1
E65	PR12	1519.327	1460.3075	1
E73	PR12	1659.023	1656.91	1
E74	PR12	1540.756	1492.1509	1
E77	PR12	1510.863	1407.7	1
E80	PR12	1505.058	1481.7672	1
E84	PR12	1532.456	1492.1509	1
E89	PR12	1546.93	1491.1125	1
E96	PR12	1518.745	1481.7672	1
E103	IA14	1518.87	1645.4103	1
E106	IA14	1532.575	1654.52	1
E107	IA14	1522.933	1681.86	1
E11	IA14	1582.084	1594.5679	1
E112	IA14	1647.753	1552.1193	1
E114	IA14	1633.681	1608.9573	1
E118	IA14	1561.075	1525.499	1
E124	IA14	1572.863	1594.5679	1
E126	IA14	1476.825	1372.01	1
E128	IA14	1421.446	1403.19	1
E131	IA14	1571.147	1538.9291	1
E134	IA14	1502.253	1475.3761	1
E139	IA14	1581.418	1525.499	1
E14	IA14	1510.998	1581.1378	1
E142	IA14	1515.781	1538.6892	1
E151	IA14	1522.921	1538.6892	1
E156	IA14	1523.572	1414.22	1
E157	IA14	1589.305	1538.6892	1
E158	IA14	1587.252	1594.5679	1
E168	IA14	1502.339	1594.3281	1
E172	IA14	1608.593	1566.7485	1
E175	IA14	1525.148	1766.04	1
