env_code	DL	GDD	PTT	PTR	PTS
PR12	12.37	26.1	322.857	2.109943411	377284.5893
PR12	12.4	26.1	323.64	2.10483871	547613.1648
PR12	12.4	27	334.8	2.177419355	511467.264
PR12	12.42	27.9	346.518	2.246376812	389336.9833
PR12	12.43	27.9	346.797	2.24456959	389964.1874
PR12	12.45	27	336.15	2.168674699	343733.544
PR12	12.47	28.8	359.136	2.309542903	529349.9437
PR12	12.48	25.2	314.496	2.019230769	421647.4829
PR12	12.5	26.1	326.25	2.088	470868.75
PR12	12.5	27.9	348.75	2.232	394368.75
PR12	12.53	26.1	327.033	2.083000798	387107.6991
PR12	12.55	28.8	361.44	2.294820717	446803.092
PR12	12.57	28.8	362.016	2.291169451	448228.3003
PR12	12.57	28.8	362.016	2.291169451	448228.3003
PR12	12.6	29.7	374.22	2.357142857	409962.7728
PR12	12.62	28.8	363.456	2.282091918	451801.2499
PR12	12.62	27	340.74	2.139461173	264888.5501
PR12	12.63	30.6	386.478	2.42280285	370283.3896
PR12	12.67	27.9	353.493	2.202052092	405168.5224
PR12	12.68	27	342.36	2.129337539	445688.8128
PR12	12.68	27.9	353.772	2.200315457	315628.7138
PR12	12.7	26.1	331.47	2.05511811	309309.0588
PR12	12.73	23.4	297.882	1.838177533	513850.2996
PR12	12.75	27	344.25	2.117647059	360498.6
PR12	12.77	18.9	241.353	1.480031323	121345.8063
PR12	12.77	27	344.79	2.114330462	361630.463
PR12	12.8	26.1	334.08	2.0390625	403970.4576
PR12	12.82	25.2	323.064	1.965678627	444934.8173
PR12	12.83	25.2	323.316	1.964146532	445629.2141
PR12	12.85	24.3	312.255	1.891050584	485836.6293
PR12	12.85	27	346.95	2.101167315	549263.484
PR12	12.88	21.6	278.208	1.677018634	171043.7622
PR12	12.9	26.1	336.69	2.023255814	319127.7852
PR12	12.92	28.8	372.096	2.229102167	473536.8115
PR12	12.93	26.1	337.473	2.018561485	412217.7768
PR12	12.95	28.8	372.96	2.223938224	380590.7616
PR12	12.97	28.8	373.536	2.220508867	381767.2393
PR12	12.98	24.3	315.414	1.87211094	315455.9617
PR12	13	28.8	374.4	2.215384615	287651.52
PR12	13.02	27.9	363.258	2.142857143	427862.7088
PR12	13.05	29.7	387.585	2.275862069	342042.3531
PR12	13.05	28.8	375.84	2.206896552	289868.4792
PR12	13.07	28.8	376.416	2.20351951	290757.6458
PR12	13.08	26.1	341.388	1.995412844	515579.1316
PR12	13.12	27.9	366.048	2.12652439	531007.0825
PR12	13.13	29.7	389.961	2.26199543	445177.0669
PR12	13.13	30.6	401.778	2.330540746	400181.476
PR12	13.15	30.6	402.39	2.326996198	401401.5408
PR12	13.18	29.7	391.446	2.253414264	448574.0563
PR12	13.2	27.9	368.28	2.113636364	439774.7904
PR12	13.22	27.9	368.838	2.110438729	343084.3507
PR12	13.22	30.6	404.532	2.314674735	405686.3916
PR12	13.25	30.6	405.45	2.309433962	407529.72
