env_code	pop_code	line_code	FTdap	FTgdd	env_note
PR12	1	E64	53.8861	1428.118	2
PR12	1	E65	55.0373	1460.3075	2
PR12	1	E66	55.8047	1481.7672	2
PR12	1	E68	59.2582	1575.2206	2
PR12	1	E69	54.6536	1448.5393	2
PR12	1	E70	56.9559	1512.9183	2
PR12	1	E71	59.2582	1575.2206	2
PR12	1	E72	57.3396	1523.302	2
PR12	1	E73	62.328	1656.91	2
PR12	1	E74	56.1885	1492.1509	2
PR12	1	E75	56.5722	1502.5346	2
PR12	1	E76	58.4908	1554.107	2
PR12	1	E77	53.1187	1407.7	2
PR12	1	E78	57.3396	1523.302	2
PR12	1	E79	57.7234	1533.3396	2
PR12	1	E80	55.8047	1481.7672	2
PR12	1	E81	58.4908	1554.4531	2
PR12	1	E82	61.1768	1627.83	2
PR12	1	E83	56.9559	1512.9183	2
PR12	1	E84	56.1885	1492.1509	2
PR12	1	E85	55.421	1470.3451	2
PR12	1	E86	60.7931	1616.76	2
PR12	1	E87	60.0257	1595.988	2
PR12	1	E88	60.4094	1606.3717	2
PR12	1	E89	56.1885	1491.1125	2
PR12	1	E90	55.0373	1460.3075	2
PR12	1	E91	55.0373	1459.9614	2
PR12	1	E92	60.4094	1606.7178	2
PR12	1	E93	60.0257	1595.2958	2
PR12	1	E94	58.8745	1564.8369	2
PR12	1	E95	56.1885	1492.1509	2
PR12	1	E96	55.8047	1481.7672	2
PR12	1	E97	57.3396	1523.302	2
PR12	1	E98	53.8861	1428.118	2
PR12	1	E99	55.421	1470.3451	2
PR12	1	E100	60.0257	1595.988	2
PR12	1	E101	56.9559	1512.9183	2
PR12	1	E102	56.5722	1502.5346	2
PR12	1	E103	53.8861	1428.118	2
PR12	1	E104	56.5722	1502.5346	2
PR12	1	E105	59.2582	1574.5283	2
PR12	1	E106	57.3396	1523.302	2
PR12	1	E107	58.1071	1544.0694	2
PR12	1	E108	60.0257	1595.6419	2
PR12	1	E109	56.1885	1492.1509	2
PR12	1	E110	60.0257	1595.6419	2
PR12	1	E111	55.0373	1459.9614	2
PR12	1	E112	56.5722	1501.4962	2
PR12	1	E113	55.0373	1459.9614	2
PR12	1	E114	54.6536	1448.5393	2
PR12	1	E115	58.1071	1544.0694	2
PR12	1	E116	56.1885	1492.1509	2
PR12	1	E117	60.7931	1615.72	2
PR12	1	E118	56.9559	1512.9183	2
PR12	1	E119	56.5722	1502.5346	2
PR12	1	E120	56.5722	1502.5346	2
PR12	1	E121	55.0373	1459.9614	2
PR12	1	E122	55.0373	1459.9614	2
PR12	1	E123	58.1071	1543.7233	2
PR12	1	E124	55.421	1470.3451	2
PR12	1	E125	56.9559	1512.9183	2
PR12	1	E126	57.3396	1523.302	2
PR12	1	E127	55.8047	1481.7672	2
PR12	1	E128	55.0373	1459.9614	2
PR12	1	E129	56.5722	1501.4962	2
PR12	1	E130	57.7234	1533.6857	2
PR12	1	E131	58.8745	1564.8369	2
PR12	1	E132	57.7234	1533.6857	2
PR12	1	E133	54.6536	1449.9238	2
PR12	1	E134	55.421	1470.6912	2
PR12	1	E135	56.5722	1502.5346	2
PR12	1	E136	57.7234	1533.6857	2
PR12	1	E137	54.6536	1448.5393	2
PR12	1	E138	56.1885	1492.1509	2
PR12	1	E139	56.5722	1501.4962	2
PR12	1	E140	59.642	1585.2582	2
PR12	1	E141	56.5722	1502.5346	2
PR12	1	E142	58.8745	1565.5291	2
PR12	1	E143	57.1515	1518.0591	2
PR12	1	E144	55.421	1471.3834	2
PR12	1	E145	56.9559	1512.9183	2
PR12	1	E146	55.8047	1481.7672	2
PR12	1	E147	61.9443	1647.91	2
PR12	1	E148	55.421	1471.3834	2
PR12	1	E149	57.3396	1523.302	2
PR12	1	E150	57.7234	1533.3396	2
PR12	1	E151	55.8047	1481.7672	2
PR12	1	E152	57.7234	1533.6857	2
PR12	1	E153	55.8047	1480.7288	2
PR12	1	E154	54.6536	1448.5393	2
PR12	1	E156	54.6536	1448.5393	2
PR12	1	E157	53.1187	1407.7	2
PR12	1	E158	58.4908	1554.4531	2
PR12	1	E159	56.1885	1492.1509	2
PR12	1	E160	55.0373	1459.9614	2
PR12	1	E162	56.5722	1502.5346	2
PR12	1	E163	56.5722	1502.5346	2
PR12	1	E164	57.7234	1533.6857	2
PR12	1	E165	56.5722	1502.5346	2
PR12	1	E166	61.1768	1627.83	2
PR12	1	E167	60.0257	1595.6419	2
PR12	1	E168	56.9559	1512.9183	2
PR12	1	E169	56.1885	1492.1509	2
PR12	1	E170	57.7234	1533.6857	2
PR12	1	E171	56.9559	1512.9183	2
PR12	1	E172	60.0257	1595.988	2
PR12	1	E173	56.1885	1492.1509	2
PR12	1	E174	56.1885	1491.1125	2
PR12	1	E175	55.0373	1459.9614	2
PR12	1	E176	56.5722	1502.5346	2
PR12	1	E177	57.7234	1533.6857	2
PR12	1	E178	56.5722	1502.5346	2
PR12	1	E179	57.7234	1532.6474	2
PR12	1	E180	55.421	1470.3451	2
PR12	1	E181	57.3396	1523.302	2
PR12	1	E182	58.4908	1554.107	2
PR12	1	E183	56.5722	1502.5346	2
PR12	1	E184	56.9559	1512.9183	2
PR12	1	E185	55.421	1470.3451	2
PR12	1	E186	54.6536	1449.9238	2
PR12	1	E187	55.8047	1481.7672	2
PR12	1	E188	60.0257	1595.6419	2
PR12	1	E189	55.421	1471.3834	2
PR12	1	E190	56.9559	1512.9183	2
PR12	1	E191	54.2699	1438.5017	2
PR12	1	E192	56.1885	1492.1509	2
PR12	1	E193	57.3396	1523.302	2
PR12	1	E194	55.0373	1459.9614	2
PR12	1	E195	55.8047	1480.7288	2
PR12	1	E196	57.3396	1523.302	2
PR12	1	E197	58.1071	1544.0694	2
PR12	1	E198	57.7234	1533.6857	2
PR12	1	E199	56.1885	1491.1125	2
PR12	1	E200	55.421	1470.3451	2
PR12	1	E201	55.8047	1481.7672	2
PR12	1	E202	53.8861	1428.118	2
PR12	1	E203	55.8047	1480.7288	2
PR12	1	E204	56.9559	1512.9183	2
PR12	1	E205	56.1885	1492.1509	2
PR12	1	E206	55.421	1470.3451	2
PR12	1	E207	56.1885	1492.1509	2
PR12	1	E208	55.8047	1481.7672	2
PR12	1	E209	55.8047	1481.7672	2
PR12	1	E210	56.1885	1491.1125	2
PR12	1	E211	55.421	1470.3451	2
