Para	Day_x	Day_y	midXY	R	P
PRDTR	1	56	28.5	0.0963	0.4027
DTR	2	56	29	-0.4546	4.6426
GDD	1	57	29	-0.607	8.6206
dGDD	1	57	29	0.1997	1.1206
PR	1	57	29	0.0709	0.2743
PRDTR	1	57	29	0.1079	0.4674
DTR	3	56	29.5	-0.4578	4.7089
GDD	1	58	29.5	-0.6084	8.667
dGDD	1	58	29.5	0.2062	1.1773
PR	1	58	29.5	0.085	0.3435
PRDTR	1	58	29.5	0.1232	0.5587
DTR	1	59	30	-0.4584	4.7201
GDD	1	59	30	-0.6102	8.727
dGDD	1	59	30	0.2109	1.2192
PR	1	59	30	0.0962	0.4022
PRDTR	1	59	30	0.1352	0.6347
DTR	1	60	30.5	-0.4583	4.7193
GDD	1	60	30.5	-0.6125	8.8078
dGDD	1	60	30.5	0.2263	1.3613
PR	1	60	30.5	0.1021	0.435
PRDTR	1	60	30.5	0.1426	0.684
DTR	7	55	31	-0.4642	4.8399
GDD	1	61	31	-0.6145	8.8734
dGDD	1	61	31	0.2376	1.4709
PR	1	61	31	0.1115	0.4882
PRDTR	1	61	31	0.1518	0.7473
DTR	7	56	31.5	-0.4686	4.9324
GDD	1	62	31.5	-0.62	9.0626
dGDD	1	62	31.5	0.2582	1.6829
PR	1	62	31.5	0.1257	0.5741
PRDTR	1	62	31.5	0.1616	0.8179
DTR	1	63	32	-0.4676	4.9113
GDD	1	63	32	-0.6258	9.2663
dGDD	1	63	32	0.2697	1.8088
PR	1	63	32	0.1375	0.6499
PRDTR	1	63	32	0.1735	0.9073
DTR	3	62	32.5	-0.4684	4.9295
GDD	1	64	32.5	-0.6289	9.3768
dGDD	1	64	32.5	0.2801	1.9264
PR	1	64	32.5	0.1456	0.7043
PRDTR	1	64	32.5	0.1802	0.9598
DTR	7	59	33	-0.471	4.9838
GDD	1	65	33	-0.631	9.4524
dGDD	1	65	33	0.2934	2.083
PR	1	65	33	0.1539	0.7624
PRDTR	1	65	33	0.1897	1.0365
DTR	7	60	33.5	-0.4714	4.9919
GDD	1	66	33.5	-0.6326	9.5111
dGDD	1	66	33.5	0.3	2.1634
PR	2	65	33.5	0.1524	0.7517
PRDTR	1	66	33.5	0.1878	1.0206
DTR	7	61	34	-0.4733	5.0337
GDD	1	67	34	-0.6352	9.6083
dGDD	1	67	34	0.3167	2.3757
PR	4	64	34	0.1564	0.7799
PRDTR	4	64	34	0.1912	1.0489
DTR	7	62	34.5	-0.478	5.1349
GDD	1	68	34.5	-0.6371	9.6756
dGDD	1	68	34.5	0.3235	2.4661
PR	4	65	34.5	0.1648	0.8413
PRDTR	4	65	34.5	0.2008	1.1306
DTR	7	63	35	-0.4801	5.1803
GDD	1	69	35	-0.6366	9.6572
dGDD	1	69	35	0.3329	2.5934
PR	5	65	35	0.1713	0.8906
PRDTR	5	65	35	0.2055	1.1707
DTR	7	64	35.5	-0.4795	5.1685
GDD	1	70	35.5	-0.6375	9.6905
dGDD	1	70	35.5	0.3415	2.7129
PR	6	65	35.5	0.1795	0.9545
PRDTR	6	65	35.5	0.2129	1.2369
DTR	7	65	36	-0.4798	5.1744
GDD	1	71	36	-0.6402	9.7917
dGDD	1	71	36	0.3531	2.8804
PR	14	58	36	0.1881	1.0235
PRDTR	7	65	36	0.218	1.2833
DTR	13	60	36.5	-0.4759	5.0889
GDD	1	72	36.5	-0.641	9.8223
dGDD	1	72	36.5	0.3571	2.9398
PR	14	59	36.5	0.1994	1.1181
PRDTR	20	53	36.5	0.2255	1.3536
DTR	13	61	37	-0.4775	5.1234
GDD	1	73	37	-0.6413	9.8337
dGDD	1	73	37	0.37	3.1361
PR	20	54	37	0.2121	1.2297
PRDTR	20	54	37	0.2388	1.4827
DTR	20	55	37.5	-0.4865	5.3233
GDD	1	74	37.5	-0.6418	9.8503
dGDD	1	74	37.5	0.3926	3.5009
PR	20	55	37.5	0.2269	1.3664
PRDTR	20	55	37.5	0.2609	1.712
DTR	20	56	38	-0.4915	5.4367
GDD	1	75	38	-0.6404	9.8005
dGDD	1	75	38	0.4021	3.6616
PR	20	56	38	0.2329	1.4247
PRDTR	20	56	38	0.2674	1.7831
DTR	20	57	38.5	-0.4864	5.3208
GDD	3	74	38.5	-0.6405	9.8017
dGDD	1	76	38.5	0.4078	3.7605
PR	20	57	38.5	0.2448	1.5427
PRDTR	20	57	38.5	0.278	1.9021
