Para	Day_x	Day_y	midXY	R	P
DTR	115	149	132	0.4838	5.2633
GDD	129	135	132	0.6496	10.1513
dGDD	129	135	132	-0.1436	0.6907
PR	116	148	132	-0.4511	4.5716
PRDTR	115	149	132	-0.4472	4.494
DTR	116	149	132.5	0.4891	5.3813
GDD	129	136	132.5	0.6462	10.02
dGDD	129	136	132.5	-0.0673	0.2574
PR	116	149	132.5	-0.4548	4.6462
PRDTR	116	149	132.5	-0.45	4.5505
DTR	117	149	133	0.4869	5.3328
GDD	130	136	133	0.6399	9.7824
dGDD	130	136	133	-0.0527	0.192
PR	121	145	133	-0.4425	4.4031
PRDTR	116	150	133	-0.438	4.3147
DTR	121	146	133.5	0.4874	5.3434
GDD	130	137	133.5	0.63	9.4179
dGDD	126	141	133.5	0.0715	0.2769
PR	122	145	133.5	-0.4525	4.6006
PRDTR	122	145	133.5	-0.4428	4.4077
DTR	120	148	134	0.4895	5.3899
GDD	130	138	134	0.6201	9.0656
dGDD	127	141	134	0.0617	0.2318
PR	123	145	134	-0.455	4.651
PRDTR	123	145	134	-0.4498	4.5469
DTR	120	149	134.5	0.4972	5.5671
GDD	120	149	134.5	0.6201	9.066
dGDD	128	141	134.5	0.0575	0.2131
PR	123	146	134.5	-0.4567	4.6862
PRDTR	123	146	134.5	-0.4545	4.6408
DTR	121	149	135	0.5046	5.7416
GDD	120	150	135	0.6223	9.1436
dGDD	132	138	135	0.1052	0.452
PR	122	148	135	-0.4589	4.7312
PRDTR	121	149	135	-0.4547	4.6444
DTR	121	150	135.5	0.4996	5.6217
GDD	121	150	135.5	0.6243	9.2128
dGDD	132	139	135.5	0.1174	0.5232
PR	122	149	135.5	-0.463	4.8146
PRDTR	122	149	135.5	-0.4609	4.7716
DTR	123	149	136	0.4978	5.5818
GDD	122	150	136	0.6254	9.2545
dGDD	133	139	136	0.1709	0.8871
PR	123	149	136	-0.4641	4.8386
PRDTR	123	149	136	-0.4667	4.8929
DTR	124	149	136.5	0.4997	5.6248
GDD	123	150	136.5	0.626	9.2741
dGDD	133	140	136.5	0.1883	1.0254
PR	124	149	136.5	-0.4507	4.5635
PRDTR	124	149	136.5	-0.4572	4.6961
DTR	124	150	137	0.4954	5.5265
GDD	124	150	137	0.6249	9.2361
dGDD	133	141	137	0.2257	1.3551
PR	124	150	137	-0.4333	4.2248
PRDTR	124	150	137	-0.4433	4.4183
DTR	127	148	137.5	0.4912	5.429
GDD	125	150	137.5	0.6231	9.1712
dGDD	134	141	137.5	0.2559	1.6579
PR	129	146	137.5	-0.4163	3.9107
PRDTR	125	150	137.5	-0.4259	4.0865
DTR	127	149	138	0.4997	5.6255
GDD	126	150	138	0.621	9.0988
dGDD	135	141	138	0.2661	1.7683
PR	129	147	138	-0.4166	3.9174
PRDTR	127	149	138	-0.4283	4.1304
DTR	128	149	138.5	0.5071	5.7994
GDD	127	150	138.5	0.6209	9.0965
dGDD	135	142	138.5	0.2099	1.2097
PR	129	148	138.5	-0.4242	4.0545
PRDTR	128	149	138.5	-0.4344	4.2455
DTR	129	149	139	0.5077	5.8135
GDD	128	150	139	0.6221	9.1367
dGDD	136	142	139	0.2426	1.5206
PR	129	149	139	-0.4291	4.1455
PRDTR	129	149	139	-0.4414	4.3806
DTR	129	150	139.5	0.502	5.6802
GDD	129	150	139.5	0.6209	9.0949
dGDD	136	143	139.5	0.1936	1.0687
PR	130	149	139.5	-0.4188	3.9564
PRDTR	130	149	139.5	-0.4307	4.1768
DTR	131	149	140	0.4898	5.3975
GDD	130	150	140	0.6163	8.9343
dGDD	136	144	140	0.1754	0.9222
PR	131	149	140	-0.4055	3.7196
PRDTR	131	149	140	-0.4167	3.9179
DTR	132	149	140.5	0.4846	5.2812
GDD	131	150	140.5	0.6101	8.7263
dGDD	134	147	140.5	0.1675	0.8616
PR	131	150	140.5	-0.3835	3.3508
PRDTR	131	150	140.5	-0.3997	3.6201
DTR	137	145	141	0.5014	5.6655
GDD	132	150	141	0.6055	8.5709
dGDD	135	147	141	0.1723	0.898
PR	137	145	141	-0.3842	3.362
PRDTR	137	145	141	-0.3855	3.3843
DTR	138	145	141.5	0.5324	6.4309
GDD	133	150	141.5	0.5983	8.3372
dGDD	136	147	141.5	0.1832	0.9837
PR	138	145	141.5	-0.422	4.015
PRDTR	138	145	141.5	-0.4143	3.8762
DTR	138	146	142	0.5373	6.5593
GDD	134	150	142	0.5912	8.1119
dGDD	136	148	142	0.18	0.9584
PR	138	146	142	-0.419	3.9607
PRDTR	138	146	142	-0.4183	3.9477
DTR	138	147	142.5	0.533	6.4449
GDD	135	150	142.5	0.5856	7.9363
dGDD	135	150	142.5	0.1577	0.7896
PR	138	147	142.5	-0.4178	3.9383
PRDTR	138	147	142.5	-0.4175	3.9334
DTR	138	148	143	0.5348	6.4916
GDD	136	150	143	0.5838	7.8791
dGDD	136	150	143	0.1655	0.8468
PR	138	148	143	-0.4242	4.0548
PRDTR	138	148	143	-0.4247	4.0637
DTR	138	149	143.5	0.546	6.7907
GDD	137	150	143.5	0.5834	7.8688
dGDD	137	150	143.5	0.1285	0.5918
PR	138	149	143.5	-0.4287	4.1379
PRDTR	138	149	143.5	-0.4364	4.2845
DTR	138	150	144	0.5355	6.5103
GDD	138	150	144	0.5862	7.9533
dGDD	138	150	144	0.0809	0.3226
PR	139	149	144	-0.4226	4.0256
PRDTR	139	149	144	-0.4238	4.0478
DTR	140	149	144.5	0.5291	6.3444
GDD	140	149	144.5	0.5921	8.1393
dGDD	139	150	144.5	0.0837	0.3371
PR	140	149	144.5	-0.412	3.8342
PRDTR	140	149	144.5	-0.4174	3.9314
DTR	141	149	145	0.5265	6.2782
GDD	141	149	145	0.6004	8.4064
dGDD	140	150	145	0.0694	0.2668
PR	142	148	145	-0.4223	4.021
PRDTR	141	149	145	-0.4155	3.8966
DTR	142	149	145.5	0.5316	6.4092
GDD	141	150	145.5	0.6067	8.6127
dGDD	141	150	145.5	0.0533	0.1946
PR	142	149	145.5	-0.4317	4.196
PRDTR	142	149	145.5	-0.4318	4.1969
DTR	143	149	146	0.538	6.5753
GDD	142	150	146	0.6126	8.8085
dGDD	143	149	146	-0.0051	0.0158
PR	143	149	146	-0.426	4.0888
PRDTR	143	149	146	-0.434	4.2385
DTR	143	150	146.5	0.5322	6.4241
GDD	143	150	146.5	0.6181	8.997
dGDD	143	150	146.5	0.0408	0.1432
PR	143	150	146.5	-0.3911	3.4765
PRDTR	143	150	146.5	-0.4152	3.8914
DTR	144	150	147	0.5084	5.83
GDD	144	150	147	0.6191	9.0333
dGDD	144	150	147	0.0594	0.2213
PR	144	150	147	-0.3435	2.7417
PRDTR	144	150	147	-0.3662	3.0787
